Linac Beam 
5.9497000001e+00 2.1226688972e+00 2.1226739874e+00 
6.0497000001e+00 2.1226688972e+00 2.1226739874e+00 
6.0847000001e+00 2.1226688972e+00 2.1226739874e+00 
6.0847000001e+00 2.1226688972e+00 2.1226739874e+00 
6.1197000001e+00 2.1226688972e+00 2.1226739874e+00 
6.1197000001e+00 2.1226688972e+00 2.1226739874e+00 
6.1697000001e+00 2.1226688972e+00 2.1226739874e+00 
6.1697000001e+00 2.1226688972e+00 2.1226739874e+00 
6.2197000001e+00 2.1226688972e+00 2.1226739874e+00 
6.2262000001e+00 2.1226688972e+00 2.1226739874e+00 
6.3022000001e+00 2.1226688972e+00 2.1226739874e+00 
6.3022000001e+00 2.1226688972e+00 2.1226739874e+00 
6.3022000001e+00 2.1226688972e+00 2.1226739874e+00 
6.3022000001e+00 2.1226688972e+00 2.1226739874e+00 
6.3022000001e+00 2.1226688972e+00 2.1226739874e+00 
6.4022000001e+00 2.1226688972e+00 2.1226739874e+00 
6.4986300001e+00 2.1226688972e+00 2.1226739874e+00 
6.4993900001e+00 2.1226688972e+00 2.1226739874e+00 
6.5279200001e+00 2.1226688972e+00 2.1226739874e+00 
6.6279200001e+00 2.1226688972e+00 2.1226739874e+00 
6.7279200001e+00 2.1226688972e+00 2.1226739874e+00 
6.8279200001e+00 2.1226688972e+00 2.1226739874e+00 
6.8427400001e+00 2.1226688972e+00 2.1226739874e+00 
6.8427400001e+00 2.1226688972e+00 2.1226739874e+00 
6.8483400001e+00 2.1226688972e+00 2.1226739874e+00 
6.8483400001e+00 2.1226688972e+00 2.1226739874e+00 
6.8539400001e+00 2.1226688972e+00 2.1226739874e+00 
6.8539400001e+00 2.1226688972e+00 2.1226739874e+00 
6.8595400001e+00 2.1226688972e+00 2.1226739874e+00 
6.8595400001e+00 2.1226688972e+00 2.1226739874e+00 
6.8595400001e+00 2.1226688972e+00 2.1226739874e+00 
6.9050000001e+00 2.1226688972e+00 2.1226739874e+00 
6.9550000001e+00 2.1226688972e+00 2.1226739874e+00 
7.0050000001e+00 2.1226688972e+00 2.1226739874e+00 
7.0050000001e+00 2.1226688972e+00 2.1226739874e+00 
7.0550000001e+00 2.1226688972e+00 2.1226739874e+00 
7.0550000001e+00 2.1226688972e+00 2.1226739874e+00 
7.1250000001e+00 2.1226688972e+00 2.1226739874e+00 
7.2250000001e+00 2.1226688972e+00 2.1226739874e+00 
7.2600000001e+00 2.1226688972e+00 2.1226739874e+00 
7.2600000001e+00 2.1226688972e+00 2.1226739874e+00 
7.2950000001e+00 2.1226688972e+00 2.1226739874e+00 
7.2950000001e+00 2.1226688972e+00 2.1226739874e+00 
7.3450000001e+00 2.1226688972e+00 2.1226739874e+00 
7.3450000001e+00 2.1226688972e+00 2.1226739874e+00 
7.3950000001e+00 2.1226688972e+00 2.1226739874e+00 
7.4015000001e+00 2.1226688972e+00 2.1226739874e+00 
7.4775000001e+00 2.1226688972e+00 2.1226739874e+00 
7.4775000001e+00 2.1226688972e+00 2.1226739874e+00 
7.4775000001e+00 2.1226688972e+00 2.1226739874e+00 
7.4775000001e+00 2.1226688972e+00 2.1226739874e+00 
7.4950000001e+00 2.1226688972e+00 2.1226739874e+00 
7.5450000001e+00 2.1226688972e+00 2.1226739874e+00 
7.5477400001e+00 2.1226688972e+00 2.1226739874e+00 
7.5477400001e+00 2.1226688972e+00 2.1226739874e+00 
7.5533400001e+00 2.1226688972e+00 2.1226739874e+00 
7.5533400001e+00 2.1226688972e+00 2.1226739874e+00 
7.5589400001e+00 2.1226688972e+00 2.1226739874e+00 
7.5589400001e+00 2.1226688972e+00 2.1226739874e+00 
7.5645400001e+00 2.1226688972e+00 2.1226739874e+00 
7.5645400001e+00 2.1226688972e+00 2.1226739874e+00 
7.5645400001e+00 2.1226688972e+00 2.1226739874e+00 
7.6970400001e+00 2.1226688972e+00 2.1226739874e+00 
7.7690300001e+00 2.1226688972e+00 2.1226739874e+00 
7.7778900001e+00 2.1226688972e+00 2.1226739874e+00 
7.7778900001e+00 2.1226688972e+00 2.1226739874e+00 
7.9778900001e+00 2.1226688972e+00 2.1226739874e+00 
7.9778900001e+00 2.1226688972e+00 2.1226739874e+00 
8.0395400001e+00 2.1226688972e+00 2.1226739874e+00 
8.0800000001e+00 2.1226688972e+00 2.1226739874e+00 
8.1300000001e+00 2.1226688972e+00 2.1226739874e+00 
8.1800000001e+00 2.1226688972e+00 2.1226739874e+00 
8.1800000001e+00 2.1226688972e+00 2.1226739874e+00 
8.2300000001e+00 2.1226688972e+00 2.1226739874e+00 
8.2300000001e+00 2.1226688972e+00 2.1226739874e+00 
8.3000000001e+00 2.1226688972e+00 2.1226739874e+00 
8.4000000001e+00 2.1226688972e+00 2.1226739874e+00 
8.4350000001e+00 2.1226688972e+00 2.1226739874e+00 
8.4350000001e+00 2.1226688972e+00 2.1226739874e+00 
8.4700000001e+00 2.1226688972e+00 2.1226739874e+00 
8.4700000001e+00 2.1226688972e+00 2.1226739874e+00 
8.5200000001e+00 2.1226688972e+00 2.1226739874e+00 
8.5200000001e+00 2.1226688972e+00 2.1226739874e+00 
8.5700000001e+00 2.1226688972e+00 2.1226739874e+00 
8.5765000001e+00 2.1226688972e+00 2.1226739874e+00 
8.6525000001e+00 2.1226688972e+00 2.1226739874e+00 
8.6525000001e+00 2.1226688972e+00 2.1226739874e+00 
8.6525000001e+00 2.1226688972e+00 2.1226739874e+00 
8.6525000001e+00 2.1226688972e+00 2.1226739874e+00 
8.6748500001e+00 2.1226688972e+00 2.1226739874e+00 
8.7235000001e+00 2.1226688972e+00 2.1226739874e+00 
8.7235000001e+00 2.1226688972e+00 2.1226739874e+00 
8.7291000001e+00 2.1226688972e+00 2.1226739874e+00 
8.7291000001e+00 2.1226688972e+00 2.1226739874e+00 
8.7347000001e+00 2.1226688972e+00 2.1226739874e+00 
8.7347000001e+00 2.1226688972e+00 2.1226739874e+00 
8.7403000001e+00 2.1226688972e+00 2.1226739874e+00 
8.7403000001e+00 2.1226688972e+00 2.1226739874e+00 
8.7403000001e+00 2.1226688972e+00 2.1226739874e+00 
8.7511500001e+00 2.1226688972e+00 2.1226739874e+00 
8.7533100001e+00 2.1226688972e+00 2.1226739874e+00 
8.8533100001e+00 2.1226688972e+00 2.1226739874e+00 
8.8939000001e+00 2.1226688972e+00 2.1226739874e+00 
8.8962600001e+00 2.1226688972e+00 2.1226739874e+00 
8.8979900001e+00 2.1226688972e+00 2.1226739874e+00 
8.8998000001e+00 2.1226688972e+00 2.1226739874e+00 
8.9998000001e+00 2.1226688972e+00 2.1226739874e+00 
9.0450000001e+00 2.1226688972e+00 2.1226739874e+00 
9.0566923080e+00 2.1226787095e+00 2.1226837941e+00 
9.0683846159e+00 2.1226914010e+00 2.1226964568e+00 
9.0800769237e+00 2.1226694064e+00 2.1226743540e+00 
9.0917692316e+00 2.1223811305e+00 2.1223857996e+00 
9.1034615395e+00 2.1209908130e+00 2.1209952124e+00 
9.1151538474e+00 2.1169060841e+00 2.1169120855e+00 
9.1268461553e+00 2.1112186557e+00 2.1112325404e+00 
9.1385384632e+00 2.1107098461e+00 2.1107368378e+00 
9.1502307711e+00 2.1163077706e+00 2.1163437683e+00 
9.1619230790e+00 2.1202266569e+00 2.1202645835e+00 
9.1736153869e+00 2.1185519060e+00 2.1185904320e+00 
9.1853076948e+00 2.1127178616e+00 2.1127622532e+00 
9.1970000026e+00 2.1100252345e+00 2.1100819368e+00 
9.2086923105e+00 2.1143792908e+00 2.1144464750e+00 
9.2203846184e+00 2.1196757849e+00 2.1197465717e+00 
9.2320769263e+00 2.1220120565e+00 2.1220829760e+00 
9.2437692342e+00 2.1226074261e+00 2.1226780332e+00 
9.2554615421e+00 2.1226912224e+00 2.1227616735e+00 
9.2671538500e+00 2.1226829971e+00 2.1227534005e+00 
9.2788461579e+00 2.1226717460e+00 2.1227421389e+00 
9.2850000003e+00 2.1226678787e+00 2.1227382704e+00 
9.3050000001e+00 2.1226678787e+00 2.1227382704e+00 
9.3550000001e+00 2.1226678787e+00 2.1227382704e+00 
9.3550000001e+00 2.1226678787e+00 2.1227382704e+00 
9.4050000001e+00 2.1226678787e+00 2.1227382704e+00 
9.4050000001e+00 2.1226678787e+00 2.1227382704e+00 
9.4750000001e+00 2.1226678787e+00 2.1227382704e+00 
9.5750000001e+00 2.1226678787e+00 2.1227382704e+00 
9.5750000001e+00 2.1226678787e+00 2.1227382704e+00 
9.6100000001e+00 2.1226678787e+00 2.1227382704e+00 
9.6100000001e+00 2.1226678787e+00 2.1227382704e+00 
9.6450000001e+00 2.1226678787e+00 2.1227382704e+00 
9.6450000001e+00 2.1226678787e+00 2.1227382704e+00 
9.6950000001e+00 2.1226678787e+00 2.1227382704e+00 
9.6950000001e+00 2.1226678787e+00 2.1227382704e+00 
9.7450000001e+00 2.1226678787e+00 2.1227382704e+00 
9.7515000001e+00 2.1226678787e+00 2.1227382704e+00 
9.7515000001e+00 2.1226678787e+00 2.1227382704e+00 
