ELE# 1 : 0.25 m
+1.191486e+00 +6.344128e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.064261e+00 +2.874441e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +7.699163e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 19 : 0.7734 m
+1.191486e+00 +6.344128e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.064261e+00 +2.874441e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +7.699163e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 20 : 0.779 m
+1.171987e+00 +6.287303e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.090321e+00 +2.892208e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +7.754910e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 21 : 0.779 m
+1.171987e+00 +6.287303e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.090321e+00 +2.892208e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +7.754910e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 22 : 0.7846 m
+1.152488e+00 +6.230479e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.116382e+00 +2.909976e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +7.810658e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 23 : 0.7846 m
+1.152488e+00 +6.230479e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.116382e+00 +2.909976e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +7.810658e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 24 : 0.7846 m
+1.152488e+00 +6.230479e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.116382e+00 +2.909976e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +7.810658e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 25 : 0.8286 m
+9.992797e-01 +5.784001e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.321143e+00 +3.049578e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +8.248676e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 26 : 0.8486 m
+9.296396e-01 +5.581056e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.414216e+00 +3.113034e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +8.447775e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 27 : 0.8786 m
+8.251795e-01 +5.276639e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.553825e+00 +3.208217e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +8.746424e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 28 : 1.1186 m
+1.011815e-02 +3.037135e-01 -1.057267e-04 +8.665874e-06 +9.561239e-08 +7.396364e-08 
-3.321044e+00 -8.545173e-01 -8.978566e-04 +7.428892e-05 -5.299759e-07 -7.006974e-07 
+6.758998e-05 +1.871380e-05 -2.769828e+00 +4.139960e-01 -3.988798e-04 -3.198451e-04 
+5.625822e-04 +1.546340e-04 -5.495866e+00 +4.604136e-01 -3.242140e-04 +3.191594e-04 
-1.013428e-08 -2.999657e-09 +2.333362e-04 -4.457663e-05 +9.076092e-01 +1.023031e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 29 : 1.1486 m
-8.951317e-02 +2.780780e-01 -1.326624e-04 +1.089454e-05 +7.971311e-08 +5.294272e-08 
-3.321044e+00 -8.545173e-01 -8.978566e-04 +7.428892e-05 -5.299759e-07 -7.006974e-07 
+8.446745e-05 +2.335282e-05 -2.934704e+00 +4.278084e-01 -4.086062e-04 -3.102704e-04 
+5.625822e-04 +1.546340e-04 -5.495866e+00 +4.604136e-01 -3.242140e-04 +3.191594e-04 
-1.252859e-08 -3.737903e-09 +2.197161e-04 -4.347538e-05 +8.846438e-01 +1.030050e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 30 : 1.15 m
-9.416263e-02 +2.768817e-01 -1.339194e-04 +1.099855e-05 +7.897115e-08 +5.196175e-08 
-3.321044e+00 -8.545173e-01 -8.978566e-04 +7.428892e-05 -5.299759e-07 -7.006974e-07 
+8.525507e-05 +2.356931e-05 -2.942398e+00 +4.284530e-01 -4.090601e-04 -3.098235e-04 
+5.625822e-04 +1.546340e-04 -5.495866e+00 +4.604136e-01 -3.242140e-04 +3.191594e-04 
-1.264033e-08 -3.772354e-09 +2.190805e-04 -4.342399e-05 +8.835721e-01 +1.030378e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 31 : 1.2 m
-2.602148e-01 +2.341558e-01 -1.788123e-04 +1.471299e-05 +5.247235e-08 +1.692687e-08 
-3.321044e+00 -8.545173e-01 -8.978566e-04 +7.428892e-05 -5.299759e-07 -7.006974e-07 
+1.133842e-04 +3.130101e-05 -3.217191e+00 +4.514736e-01 -4.252708e-04 -2.938656e-04 
+5.625822e-04 +1.546340e-04 -5.495866e+00 +4.604136e-01 -3.242140e-04 +3.191594e-04 
-1.663085e-08 -5.002764e-09 +1.963804e-04 -4.158858e-05 +8.452966e-01 +1.042076e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 32 : 1.2 m
-2.602148e-01 +2.341558e-01 -1.788123e-04 +1.471299e-05 +5.247235e-08 +1.692687e-08 
-3.321044e+00 -8.545173e-01 -8.978566e-04 +7.428892e-05 -5.299759e-07 -7.006974e-07 
+1.133842e-04 +3.130101e-05 -3.217191e+00 +4.514736e-01 -4.252708e-04 -2.938656e-04 
+5.625822e-04 +1.546340e-04 -5.495866e+00 +4.604136e-01 -3.242140e-04 +3.191594e-04 
-1.663085e-08 -5.002764e-09 +1.963804e-04 -4.158858e-05 +8.452966e-01 +1.042076e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 33 : 1.3 m
