 mc2(MeV) freq(MHz) Z I(mA) npart
  939.2943081000   162.5  -1    5      100000
 Sizes, positions are in mm, angles in mrad
 Phases in deg, energies in MeV
 Emittances and halo in mm.mrad or deg.MeV
 Phase advance per meter in deg/mm
 Current is in mA
 Powlost is in W
 H&V dispersion in mm
 ## z(m) gama-1 x0 y0 p0 x'0 y'0 W0 SizeX SizeY SizeP sxx' syy' spW ex ey ep hx hy hp npart kx ky kz ex99 ey99 ep99 phiS Ws SCCurrent Aper e4D EmitR kr Powlost Xmax Ymax ezdp SizeZ szdp Hdisp Vdisp Hdisp/dz Vdisp/dz e6D sxy sx'y'
21 7.790000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.490140e+00 1.971630e+00 1.015301e+01 -7.003627e+00 6.084376e+00 -9.326731e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 2.050610e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.492045e+00 7.564705e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
22 7.846000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.474413e+00 1.988945e+00 1.018818e+01 -6.938719e+00 6.161617e+00 -9.392381e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 2.904530e-02 4.558053e-02 2.355344e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.504143e+00 7.617953e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
23 7.846000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.474413e+00 1.988945e+00 1.018818e+01 -6.938719e+00 6.161617e+00 -9.392381e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 2.050610e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.504143e+00 7.617953e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
24 7.846000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.474413e+00 1.988945e+00 1.018818e+01 -6.938719e+00 6.161617e+00 -9.392381e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 2.921439e-02 4.521640e-02 2.347884e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.504143e+00 7.617953e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
25 8.286000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.352507e+00 2.127218e+00 1.046883e+01 -6.437311e+00 6.775968e+00 -9.912353e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 3.075560e-02 4.225200e-02 2.284380e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.600668e+00 8.039691e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
26 8.486000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.298100e+00 2.191292e+00 1.059883e+01 -6.214350e+00 7.059553e+00 -1.015109e-01 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 3.311010e-02 3.834196e-02 2.195669e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.645381e+00 8.233328e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
27 8.786000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.217724e+00 2.288714e+00 1.079658e+01 -5.885560e+00 7.489913e+00 -1.051202e-01 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 3.512549e-02 3.563863e-02 2.129059e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.713395e+00 8.526067e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
28 8.902923e-01 2.259865e-03 4.405882e-10 -1.871664e-07 0.000000e+00 8.243602e-08 -3.920976e-05 0.000000e+00 2.185192e+00 2.329113e+00 1.087864e+01 -5.752901e+00 7.667798e+00 -1.066219e-01 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 1.894256e-03 1.719300e-03 1.063684e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 2.000000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.741628e+00 8.647851e+00 3.214379e-08 3.759033e-05 4.051619e-06 6.699358e-03 1.499400e-02 -5.071044e-09 -3.373932e-07
28 9.019846e-01 2.259878e-03 7.030089e-11 -1.530376e-06 0.000000e+00 -7.851800e-09 -2.446773e-04 0.000000e+00 2.154528e+00 2.367711e+00 1.095711e+01 -5.629344e+00 7.836031e+00 -1.080815e-01 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 3.746585e-03 3.298147e-03 2.059371e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 2.000000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.768628e+00 8.766205e+00 -5.671669e-09 1.789780e-04 1.495188e-06 1.859235e-02 1.499400e-02 -3.312793e-08 -1.715896e-06
28 9.136769e-01 2.259856e-03 -2.623541e-09 -8.273876e-06 0.000000e+00 -9.855221e-07 -1.071958e-03 0.000000e+00 2.124109e+00 2.406519e+00 1.103615e+01 -5.502759e+00 8.009864e+00 -1.097534e-01 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 5.652191e-03 4.826225e-03 3.040849e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 2.000000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.795793e+00 8.901855e+00 4.622653e-07 4.837376e-04 9.787088e-05 3.243189e-02 1.499400e-02 -1.428724e-07 -5.285675e-06
