Exx' Eyy' Et Ezz' 
1.0890615420e+00 2.0999995971e-01 2.1000066303e-01 2.1000029559e-01 3.3999993276e-01 
1.1007538499e+00 2.0999995999e-01 2.1000063093e-01 2.1000027976e-01 3.3999993341e-01 
1.1124461578e+00 2.0999995998e-01 2.1000061167e-01 2.1000027014e-01 3.3999993350e-01 
1.1186000002e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.1486000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.1500000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.2000000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.2000000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.3000000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.3000000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.3350000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.3350000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.3700000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.3700000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.4700000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.4700000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.5200000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.5290000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.6050000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.6050000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
1.7050000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.0550000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.0800000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.1050000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.1427000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.1427000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.1483000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.1483000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.1539000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.1539000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.1595000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.1595000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.1595000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.2050000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.2550000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.3050000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.3050000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.3550000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.3550000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.4250000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.4250000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.5250000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.5250000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.5600000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.5600000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.5950000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.5950000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.6450000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.6450000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
